Age,Sex,Pclass,SibSp,Parch,Fare,Survived
54.0,0,2,1,3,23.0,1
18.0,1,3,0,0,7.75,0
28.0,1,3,0,0,7.75,0
5.0,0,3,0,0,12.48,1
28.0,1,3,0,0,7.74,0
43.0,0,1,0,1,211.34,1
13.0,0,3,0,0,7.23,1
17.0,0,1,1,0,57.0,1
29.0,1,1,0,0,30.0,0
28.0,1,3,1,2,23.45,0
25.0,1,3,0,0,7.05,0
25.0,1,3,0,0,7.25,0
18.0,0,3,0,0,7.5,1
8.0,1,3,4,1,29.12,0
1.0,1,3,1,2,20.58,1
46.0,1,1,0,0,79.2,0
28.0,1,3,0,0,7.75,0
16.0,1,2,0,0,26.0,0
28.0,0,3,8,2,69.55,0
28.0,1,1,0,0,30.7,0
25.0,1,3,0,0,7.9,0
39.0,1,2,0,0,13.0,0
49.0,0,1,0,0,25.93,1
31.0,0,3,0,0,8.68,1
30.0,1,3,0,0,7.23,0
30.0,0,3,1,1,24.15,0
34.0,1,2,0,0,13.0,0
31.0,0,2,1,1,26.25,1
11.0,1,1,1,2,120.0,1
0.4,1,3,0,1,8.52,1
27.0,1,3,0,0,6.98,1
31.0,1,3,0,0,7.78,0
39.0,1,1,0,0,0.0,0
18.0,0,3,0,0,7.78,0
39.0,1,2,0,0,13.0,0
33.0,0,1,1,0,53.1,1
26.0,1,3,0,0,7.89,0
39.0,1,3,0,0,24.15,0
35.0,1,2,0,0,10.5,0
6.0,0,3,4,2,31.28,0
30.5,1,3,0,0,8.05,0
28.0,1,1,0,0,0.0,0
23.0,0,3,0,0,7.92,0
31.0,1,2,1,1,37.0,0
43.0,1,3,0,0,6.45,0
10.0,1,3,3,2,27.9,0
52.0,0,1,1,1,93.5,1
27.0,1,3,0,0,8.66,1
38.0,1,1,0,0,0.0,0
27.0,0,3,0,1,12.48,1
2.0,1,3,4,1,39.69,0
28.0,1,3,0,0,6.95,0
28.0,1,3,0,0,56.5,0
1.0,1,2,0,2,37.0,1
28.0,1,3,0,0,7.75,1
62.0,0,1,0,0,80.0,1
15.0,0,3,1,0,14.45,1
0.8,1,2,1,1,18.75,1
28.0,1,3,0,0,7.23,0
23.0,1,3,0,0,7.85,0
18.0,1,3,0,0,8.3,0
39.0,0,1,1,1,83.16,1
21.0,1,3,0,0,8.66,0
28.0,1,3,0,0,8.05,0
32.0,1,3,0,0,56.5,1
28.0,1,1,0,0,29.7,1
20.0,1,3,0,0,7.92,0
16.0,1,2,0,0,10.5,0
30.0,0,1,0,0,31.0,1
34.5,1,3,0,0,6.44,0
17.0,1,3,0,0,8.66,0
42.0,1,3,0,0,7.55,0
28.0,1,3,8,2,69.55,0
35.0,1,3,0,0,7.9,0
28.0,1,2,0,1,33.0,0
28.0,0,1,1,0,89.1,1
4.0,1,3,4,2,31.28,0
74.0,1,3,0,0,7.78,0
9.0,0,3,1,1,15.25,0
16.0,0,1,0,1,39.4,1
44.0,0,2,1,0,26.0,0
18.0,0,3,0,1,9.35,1
45.0,0,1,1,1,164.87,1
51.0,1,1,0,0,26.55,1
24.0,0,3,0,3,19.26,1
28.0,1,3,0,0,7.23,0
41.0,1,3,2,0,14.11,0
21.0,1,2,1,0,11.5,0
48.0,0,1,0,0,25.93,1
28.0,0,3,8,2,69.55,0
24.0,1,2,0,0,13.0,0
42.0,0,2,0,0,13.0,1
27.0,0,2,1,0,13.86,1
31.0,1,1,0,0,50.5,0
28.0,1,3,0,0,9.5,0
4.0,1,3,1,1,11.13,1
26.0,1,3,0,0,7.9,0
47.0,0,1,1,1,52.55,1
33.0,1,1,0,0,5.0,0
47.0,1,3,0,0,9.0,0
28.0,0,2,1,0,24.0,1
15.0,0,3,0,0,7.22,1
20.0,1,3,0,0,9.85,0
19.0,1,3,0,0,7.9,0
28.0,1,3,0,0,7.9,0
56.0,0,1,0,1,83.16,1
25.0,0,2,0,1,26.0,1
33.0,1,3,0,0,7.9,0
22.0,0,3,0,0,10.52,0
28.0,1,2,0,0,10.5,0
25.0,1,3,0,0,7.05,0
39.0,0,3,0,5,29.12,0
27.0,1,2,0,0,13.0,0
19.0,0,1,0,0,30.0,1
28.0,0,3,1,2,23.45,0
26.0,1,1,0,0,30.0,1
32.0,1,3,0,0,7.75,0
